City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,kuandian,40.7286,124.7847,11.4,57,1,1.22,CN,1728431256
83,hawaiian paradise park,19.5933,-154.9731,28.74,70,0,6.17,US,1728431258
84,vadso,70.0744,29.7487,3.09,81,75,4.63,NO,1728431260
85,san luis de la loma,17.2706,-100.8939,26.67,86,85,1.16,MX,1728431261
86,wailua homesteads,22.0669,-159.378,28.44,70,40,6.69,US,1728431262
87,new norfolk,-42.7826,147.0587,12.73,38,6,1.53,AU,1728431264
88,puerto ayora,-0.7393,-90.3518,20.31,99,92,4.92,EC,1728431265
89,sitka,57.0531,-135.33,9.94,66,75,6.69,US,1728431177
90,ban selaphum,16.0167,103.95,23.01,85,84,3.54,TH,1728431267
91,coquimbo,-29.9533,-71.3436,15.85,67,75,2.57,CL,1728431269
92,at taj,24.2049,23.2857,26.22,22,0,3.71,LY,1728431270
93,kokopo,-4.352,152.2633,28.96,67,24,0.95,PG,1728431271
94,rio grande,-32.035,-52.0986,17.0,89,99,5.21,BR,1728431197
95,ribeira grande,38.5167,-28.7,20.99,83,83,3.13,PT,1728431273
96,touba,8.2833,-7.6833,21.63,94,95,0.84,CI,1728431275
97,nurmijarvi,60.4641,24.8073,7.53,94,75,2.57,FI,1728431277
98,saint-leu,-21.15,55.2833,19.48,85,11,5.6,RE,1728431278
99,blackmans bay,-43.0167,147.3167,12.07,60,0,0.89,AU,1728431280
100,vorgashor,67.5833,63.95,-6.69,94,73,4.57,RU,1728431281
101,papatowai,-46.5619,169.4708,6.7,93,100,10.04,NZ,1728431283
102,talara,-4.5772,-81.2719,19.42,88,40,7.2,PE,1728431284
103,nova sintra,14.8667,-24.7167,27.68,77,21,8.59,CV,1728431285
104,huilong,31.8111,121.655,16.66,73,98,3.94,CN,1728431286
105,kamloops,50.6665,-120.3192,23.55,39,40,7.72,CA,1728431023
106,berezovyy,51.6667,135.7,4.47,45,0,0.91,RU,1728431289
107,harper,4.375,-7.7169,24.88,87,44,2.73,LR,1728431291
108,port macquarie,-31.4333,152.9167,15.6,94,100,2.24,AU,1728431292
109,al manaqil,14.2459,32.9891,28.62,59,56,4.96,SD,1728431294
110,severo-yeniseyskiy,60.3725,93.0408,-3.0,90,100,3.07,RU,1728431296
111,cascais,38.6979,-9.4215,20.84,84,99,5.36,PT,1728431297
112,nar'yan-mar,67.6713,53.087,-1.05,87,27,2.44,RU,1728431298
113,sinabang,2.4803,96.3801,26.13,86,57,1.64,ID,1728431299
114,bandundu,-3.3167,17.3667,22.69,94,36,1.17,CD,1728431300
115,olyokminsk,60.3736,120.4264,1.37,61,100,0.4,RU,1728431302
116,margaret river,-33.95,115.0667,14.12,53,2,6.31,AU,1728431135
117,san patricio,28.017,-97.5169,32.97,48,1,5.69,US,1728431304
118,garachico,28.7781,-17.7646,19.06,78,40,2.06,ES,1728431305
119,roxas,11.5853,122.7511,27.46,82,99,1.42,PH,1728431306
120,erenhot,43.6475,111.9767,10.83,51,87,7.67,CN,1728431307
121,khandyga,62.6667,135.6,-4.68,80,87,1.0,RU,1728431309
122,zima,53.9202,102.0442,-1.6,87,86,1.48,RU,1728431310
123,westport,41.1415,-73.3579,16.06,74,92,3.19,US,1728431264
124,isla mujeres,21.2311,-86.731,27.03,84,100,9.23,MX,1728431312
125,waingapu,-9.6567,120.2641,28.68,63,37,4.08,ID,1728431313
126,haimen,23.1935,116.6142,23.99,84,96,3.56,CN,1728431314
127,weno,7.4515,151.8468,30.97,79,75,1.54,FM,1728431315
128,taltal,-25.4,-70.4833,14.8,78,11,1.55,CL,1728431225
129,belyy yar,53.6039,91.3903,7.94,42,0,6.0,RU,1728431318
130,avarua,-21.2078,-159.775,25.03,65,20,9.77,CK,1728431319
131,tubarjal,30.4999,38.216,22.84,48,0,4.44,SA,1728431320
132,bumba,2.1833,22.4667,21.25,97,100,0.52,CD,1728431321
133,punta arenas,-53.15,-70.9167,10.06,66,0,10.8,CL,1728431279
134,garden city,42.3256,-83.331,17.16,48,39,3.15,US,1728431184
135,mandalgovi,45.7625,106.2708,-0.5,46,14,10.02,MN,1728431325
136,nagqu,31.5,92.0,-0.81,90,9,1.79,CN,1728431326
137,abra pampa,-22.7205,-65.697,16.13,12,100,7.59,AR,1728431327
138,flying fish cove,-10.4217,105.6791,25.82,83,75,6.17,CX,1728431328
139,tolanaro,-25.0319,46.9987,22.04,88,75,5.14,MG,1728431329
140,gornozavodsk,58.3758,58.3211,2.94,77,100,3.46,RU,1728431331
141,kerikeri,-35.2268,173.9474,14.94,87,100,3.08,NZ,1728431332
142,barrouallie,13.2333,-61.2667,27.79,84,40,1.54,VC,1728431333
143,utrik,11.2278,169.8474,28.66,77,78,4.3,MH,1728431334
144,santana,-0.0583,-51.1817,29.1,79,0,5.14,BR,1728431335
145,pyshma,56.9523,63.2513,6.0,64,99,4.47,RU,1728431337
146,luderitz,-26.6481,15.1594,12.66,81,0,0.4,NA,1728431338
147,kibre mengist,5.8833,38.9833,13.38,96,58,1.21,ET,1728431339
148,murun-kuren,49.6342,100.1625,-2.46,47,85,2.82,MN,1728431340
149,galle,6.0367,80.217,26.28,79,88,2.45,LK,1728431341
150,ta`u,-14.2336,-169.5144,26.39,78,95,6.35,AS,1728431342
151,okha,53.5739,142.9478,6.13,65,96,6.17,RU,1728431344
152,kirakira,-10.4544,161.9205,29.66,68,47,6.68,SB,1728431345
153,armacao de buzios,-22.7469,-41.8817,22.09,88,93,6.31,BR,1728431346
154,nantucket,41.2835,-70.0995,13.06,76,0,3.09,US,1728431185
155,imbituba,-28.24,-48.6703,18.0,97,100,2.94,BR,1728431144
156,gadzhiyevo,69.2551,33.3362,1.75,77,100,4.54,RU,1728431349
157,lijiang,26.8688,100.2207,13.16,98,100,0.85,CN,1728431350
158,egilsstadir,65.2653,-14.3948,-0.05,93,75,3.09,IS,1728431351
159,tanabe,33.7333,135.3667,18.56,82,75,5.66,JP,1728431353
160,hiratacho,35.4333,132.8167,20.98,68,40,6.69,JP,1728431355
161,tommot,58.9564,126.2925,-1.35,60,96,2.05,RU,1728431356
162,bilibino,68.0546,166.4372,-6.45,91,100,1.41,RU,1728431357
163,tambacounda,13.7539,-13.7586,28.03,94,75,0.0,SN,1728431359
164,constantia,44.1833,28.65,14.38,75,88,5.85,RO,1728431061
165,iquique,-20.2208,-70.1431,17.74,88,67,3.07,CL,1728431362
166,pangody,65.85,74.4859,-4.99,76,100,8.32,RU,1728431363
167,ratnagiri,16.9833,73.3,24.99,91,100,2.44,IN,1728431364
168,seminole,28.7086,-81.2081,26.9,82,0,3.09,US,1728431071
169,kitimat,54.0524,-128.6534,10.51,30,99,1.8,CA,1728431368
170,orlovista,28.5383,-81.4604,26.98,88,100,4.63,US,1728431369
171,lhasa,29.65,91.1,7.07,72,3,2.03,CN,1728431370
172,herkimer,43.0256,-74.986,9.99,92,43,2.05,US,1728431372
173,afaahiti,-17.75,-149.2833,23.74,85,100,9.2,PF,1728431373
174,necochea,-38.5473,-58.7368,6.25,91,18,3.34,AR,1728431374
175,east london,-33.0153,27.9116,18.38,84,93,8.52,ZA,1728431375
176,isafjordur,66.0755,-23.124,0.02,78,100,2.94,IS,1728431376
177,noosa heads,-26.3833,153.15,20.96,83,97,5.09,AU,1728431378
178,mount gambier,-37.8333,140.7667,13.8,40,0,2.48,AU,1728431380
179,andergrove,-21.0833,149.1833,26.29,72,59,3.94,AU,1728431382
180,suncho corral,-27.9336,-63.4294,18.24,92,100,3.74,AR,1728431383
181,nelson bay,-32.7167,152.15,16.72,75,100,3.58,AU,1728431385
182,urambo,-5.0667,32.05,20.67,81,85,1.89,TZ,1728431386
183,hermanus,-34.4187,19.2345,16.0,88,0,0.91,ZA,1728431387
184,puerto baquerizo moreno,-0.9,-89.6,20.95,86,96,6.37,EC,1728431236
185,ilulissat,69.2167,-51.1,-1.99,80,58,0.0,GL,1728431390
186,bam,29.106,58.357,21.68,26,0,0.74,IR,1728431391
187,queenstown,-31.8976,26.8753,14.98,70,74,1.15,ZA,1728431392
188,chegdomyn,51.1167,133.0167,3.08,46,0,0.96,RU,1728431393
189,saynshand,44.8824,110.1163,5.57,51,91,12.99,MN,1728431394
190,dakhla,23.6848,-15.958,19.81,93,50,6.08,EH,1728431396
191,forked river,39.8398,-74.1901,17.76,70,0,0.45,US,1728431399
192,new plymouth,-39.0667,174.0833,11.84,100,57,7.5,NZ,1728431400
193,lerwick,60.1545,-1.1494,7.43,90,100,15.08,GB,1728431401
